label,country,admin1,lat,lon,pop,domain
"Santa Fe, NM",US,New Mexico,35.68698,-105.9378,87505,conus
"Bend, OR",US,Oregon,44.05817,-121.31531,87014,conus
"Duluth, MN",US,Minnesota,46.78327,-92.10658,86110,conus
"Champaign, IL",US,Illinois,40.11642,-88.24338,86096,conus
"Ogden, UT",US,Utah,41.223,-111.97383,85444,conus
"Bellingham, WA",US,Washington,48.75955,-122.48822,85146,conus
"O'Fallon, MO",US,Missouri,38.81061,-90.69985,85040,conus
"Bloomington, IN",US,Indiana,39.16533,-86.52639,84067,conus
"Palm Coast, FL",US,Florida,29.58497,-81.20784,82893,conus
"Fayetteville, AR",US,Arkansas,36.06258,-94.15743,82830,conus
"Sioux City, IA",US,Iowa,42.49999,-96.40031,82821,conus
"Merced, CA",US,California,37.30216,-120.48297,82436,conus
"Longview, TX",US,Texas,32.5007,-94.74049,82287,conus
"Lynchburg, VA",US,Virginia,37.41375,-79.14225,79812,conus
"Medford, OR",US,Oregon,42.32652,-122.87559,79805,conus
"Bloomington, IL",US,Illinois,40.4842,-88.99369,78292,conus
"Scranton, PA",US,Pennsylvania,41.40916,-75.6649,77118,conus
"Saint Joseph, MO",US,Missouri,39.76861,-94.84663,76780,conus
"Lake Charles, LA",US,Louisiana,30.21309,-93.2044,76070,conus
"Kalamazoo, MI",US,Michigan,42.29171,-85.58723,76041,conus
"Bismarck, ND",US,North Dakota,46.80833,-100.78374,75092,conus
"Albany, GA",US,Georgia,31.57851,-84.15574,74843,conus
"Jonesboro, AR",US,Arkansas,35.8423,-90.70428,73907,conus
"Rapid City, SD",US,South Dakota,44.08054,-103.23101,73569,conus
"Decatur, IL",US,Illinois,39.84031,-88.9548,73254,conus
"Saint George, UT",US,Utah,37.10415,-113.58412,72897,conus
"Daytona Beach, FL",US,Florida,29.21081,-81.02283,72647,conus
"Gulfport, MS",US,Mississippi,30.36742,-89.09282,71856,conus
"Lafayette, IN",US,Indiana,40.4167,-86.87529,71111,conus
"Missoula, MT",US,Montana,46.87215,-113.994,71022,conus
"New Braunfels, TX",US,Texas,29.703,-98.12445,70543,conus
"Flagstaff, AZ",US,Arizona,35.19807,-111.65127,70320,conus
"Muncie, IN",US,Indiana,40.19338,-85.38636,70087,conus
"Frederick, MD",US,Maryland,39.41427,-77.41054,69479,conus
"Dothan, AL",US,Alabama,31.22323,-85.39049,68567,conus
"Waterloo, IA",US,Iowa,42.49276,-92.34296,68460,conus
"Eau Claire, WI",US,Wisconsin,44.81135,-91.49849,67778,conus
"Victoria, TX",US,Texas,28.80527,-97.0036,67574,conus
"Jacksonville, NC",US,North Carolina,34.75405,-77.43024,67357,conus
"Jackson, TN",US,Tennessee,35.61452,-88.81395,66975,conus
"Yuba City, CA",US,California,39.14045,-121.61691,66941,conus
"Portland, ME",US,Maine,43.65737,-70.2589,66881,conus
"Oshkosh, WI",US,Wisconsin,44.02471,-88.54261,66555,conus
"Johnson City, TN",US,Tennessee,36.31344,-82.35347,66027,conus
"Saint Cloud, MN",US,Minnesota,45.5608,-94.16249,65842,conus
"Cheyenne, WY",US,Wyoming,41.13998,-104.82025,65132,conus
"Ames, IA",US,Iowa,42.03471,-93.61994,65060,conus
"Youngstown, OH",US,Ohio,41.09978,-80.64952,64628,conus
"Greenville, SC",US,South Carolina,34.85262,-82.39401,64579,conus
"Janesville, WI",US,Wisconsin,42.68279,-89.01872,64123,conus
"Bowling Green, KY",US,Kentucky,36.99032,-86.4436,63616,conus
"North Port, FL",US,Florida,27.04422,-82.23593,62345,conus
"Auburn, AL",US,Alabama,32.60986,-85.48078,62059,conus
